"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SHFQCE4A","journalArticle","2017","David Ha","A Visual Guide to Evolution Strategies","","","","","","A Visual Guide to Evolution Strategies","2017-10-29","2020-11-08 12:00:44","2020-11-29 10:52:01","2020-11-08 12:00:44","","","","","","","","","","","","","","","","","","","blog.otoro.net","","","","C:\Users\ruben\Zotero\storage\PJMAL86K\visual-evolution-strategies.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2XEQDCQ","journalArticle","2019","Andrew N. Sloss; Steven Gustafson","2019 Evolutionary Algorithms Review","arXiv:1906.08870 [cs]","","","","","Evolutionary algorithm research and applications began over 50 years ago. Like other artificial intelligence techniques, evolutionary algorithms will likely see increased use and development due to the increased availability of computation, more robust and available open source software libraries, and the increasing demand for artificial intelligence techniques. As these techniques become more adopted and capable, it is the right time to take a perspective of their ability to integrate into society and the human processes they intend to augment. In this review, we explore a new taxonomy of evolutionary algorithms and resulting classifications that look at five main areas: the ability to manage the control of the environment with limiters, the ability to explain and repeat the search process, the ability to understand input and output causality within a solution, the ability to manage algorithm bias due to data or user design, and lastly, the ability to add corrective measures. These areas are motivated by today's pressures on industry to conform to both societies concerns and new government regulatory rules. As many reviews of evolutionary algorithms exist, after motivating this new taxonomy, we briefly classify a broad range of algorithms and identify areas of future research.","2019-06-03","2020-11-08 12:05:56","2020-11-29 10:51:46","2020-11-08 12:05:56","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1906.08870","","C:\Users\ruben\Zotero\storage\JYQSIS8E\Sloss y Gustafson - 2019 - 2019 Evolutionary Algorithms Review.pdf; C:\Users\ruben\Zotero\storage\A4GXGM4F\1906.html","","","Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBRB5BLJ","computerProgram","2020","OpenAI","openai/gym","","","","","","A toolkit for developing and comparing reinforcement learning algorithms.","2020-11-08","2020-11-08 12:15:03","2020-11-29 10:56:15","2020-11-08 12:15:02","","","","","","","","","","","","OpenAI","","","View license         ,                 View license","","","","GitHub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","","","","","","","","",""
"HKAYBSMW","journalArticle","2013","Thomas Geijtenbeek; Michiel van de Panne; A. Frank van der Stappen","Flexible muscle-based locomotion for bipedal creatures","ACM Transactions on Graphics","","0730-0301, 1557-7368","10.1145/2508363.2508399","","We present a muscle-based control method for simulated bipeds in which both the muscle routing and control parameters are optimized. This yields a generic locomotion control method that supports a variety of bipedal creatures. All actuation forces are the result of 3D simulated muscles, and a model of neural delay is included for all feedback paths. As a result, our controllers generate torque patterns that incorporate biomechanical constraints. The synthesized controllers ﬁnd different gaits based on target speed, can cope with uneven terrain and external perturbations, and can steer to target directions.","2013-11","2020-11-10 09:27:14","2020-11-29 10:53:02","2020-11-10 09:27:14","1-11","","6","32","","ACM Trans. Graph.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ruben\Zotero\storage\AZ9YJBAD\Geijtenbeek et al. - 2013 - Flexible muscle-based locomotion for bipedal creat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QC2BMED","computerProgram","2020","Robert Jankowski","robertjankowski/ga-openai-gym","","","","","","Usage of genetic algorithms to train a neural network in the multiple OpenAI gym environments.","2020-11-04","2020-11-10 09:56:52","2020-11-29 10:56:11","2020-11-10 09:56:52","","","","","","","","","","","","","","","MIT License         ,                 MIT License","","","","GitHub","","","","","","","bipedalwalker; cartpole-v0; cnn; deep-learning; genetic-algorithm; neural-network; neural-networks; openai-gym; pytorch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","","","","","","","","",""
"EYBPYL2J","document","2020","David Ha","Slime Volleyball Gym Environment","","","","","","","2020","2020-11-10 10:00:41","2020-11-29 10:52:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64X2FJA7","journalArticle","2010","Ahmed, Zakir","Genetic Algorithm for the Traveling Salesman Problem using Sequential Constructive Crossover Operator","International Journal of Biometric and Bioinformatics","","","10.14569/IJACSA.2020.0110275","","This paper develops a new crossover operator, Sequential Constructive crossover(SCX), for a genetic algorithm that generates high quality solutions to the TravelingSalesman Problem (TSP). The sequential constructive crossover operatorconstructs an offspring from a pair of parents using better edges on the basis of theirvalues that may be present in the parents' structure maintaining the sequence ofnodes in the parent chromosomes. The efficiency of the SCX is compared asagainst some existing crossover operators; namely, edge recombination crossover(ERX) and generalized N-point crossover (GNX) for some benchmark TSPLIBinstances. Experimental results show that the new crossover operator is better thanthe ERX and GNX.","2010-03-01","2020-11-12 12:41:54","2020-11-12 12:41:54","","","","","3","","International Journal of Biometric and Bioinformatics","","","","","","","","","","","","","ResearchGate","","","","C:\Users\ruben\Zotero\storage\F38RIL65\Ahmed - 2010 - Genetic Algorithm for the Traveling Salesman Probl.pdf; ","https://www.researchgate.net/publication/41847011_Genetic_Algorithm_for_the_Traveling_Salesman_Problem_using_Sequential_Constructive_Crossover_Operator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6MQ4B2X","journalArticle","2011","Kaya, Yılmaz; Uyar, Murat; Tek\D{j}n, Ramazan","A Novel Crossover Operator for Genetic Algorithms: Ring Crossover","arXiv:1105.0355 [cs]","","","","","The genetic algorithm (GA) is an optimization and search technique based on the principles of genetics and natural selection. A GA allows a population composed of many individuals to evolve under specified selection rules to a state that maximizes the ""fitness"" function. In that process, crossover operator plays an important role. To comprehend the GAs as a whole, it is necessary to understand the role of a crossover operator. Today, there are a number of different crossover operators that can be used in GAs. However, how to decide what operator to use for solving a problem? A number of test functions with various levels of difficulty has been selected as a test polygon for determine the performance of crossover operators. In this paper, a novel crossover operator called 'ring crossover' is proposed. In order to evaluate the efficiency and feasibility of the proposed operator, a comparison between the results of this study and results of different crossover operators used in GAs is made through a number of test functions with various levels of difficulty. Results of this study clearly show significant differences between the proposed operator and the other crossover operators.","2011-05-02","2020-11-12 12:42:42","2020-11-29 10:52:26","2020-11-12 12:42:42","","","","","","","A Novel Crossover Operator for Genetic Algorithms","","","","","","","","","","","","arXiv.org","","arXiv: 1105.0355","","C:\Users\ruben\Zotero\storage\V39WAU4P\Kaya et al. - 2011 - A Novel Crossover Operator for Genetic Algorithms.pdf; C:\Users\ruben\Zotero\storage\5V5GGRQV\1105.html","","","Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4S8CXI6P","journalArticle","2010","Marwala, Lufuno Ronald","Forecasting the Stock Market Index Using Artificial Intelligence Techniques","","","","","","The weak form of Efficient Market hypothesis (EMH) states that it is impossible to forecast the future price of an asset based on the information contained in the historical prices of an asset. This means that the market behaves as a random walk and as a result makes forecasting impossible. Furthermore, financial forecasting is a difficult task due to the intrinsic complexity of the financial system. The objective of this work was to use artificial intelligence (AI) techniques to model and predict the future price of a stock market index. Three artificial intelligence techniques, namely, neural networks (NN), support vector machines and neuro-fuzzy systems are implemented in forecasting the future price of a stock market index based on its historical price information. Artificial intelligence techniques have the ability to take into consideration financial system complexities and they are used as financial time series forecasting tools. Two techniques are used to benchmark the AI techniques, namely, Autoregressive Moving Average (ARMA) which is linear modelling technique and random walk (RW) technique. The experimentation was performed on data obtained from the Johannesburg Stock Exchange. The data used was a series of past closing prices of the All Share Index. The results showed that the three techniques have the ability to predict the future price of the Index with an acceptable accuracy. All three artificial intelligence techniques outperformed the linear model. However, the random walk method outperfomed all the other techniques. These techniques show an ability to predict the future price however, because of the transaction costs of trading in the market, it is not possible to show that the three techniques can disprove the weak form of market efficiency. The results show that the ranking of performances support vector machines, neuro-fuzzy systems, multilayer perceptron neural networks is dependent on the accuracy measure used.","2010","2020-11-13 12:19:26","2020-11-29 10:42:48","","166","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\VAPXP46E\Marwala - Forecasting the Stock Market Index Using Artificia.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNR44AJQ","webpage","2020","Santos, Marco","Using Deep Learning AI to Predict the Stock Market","Medium","","","","","Forecasting Stock Prices with Neural Networks containing Multivariable Inputs from Technical Analysis","2020-09-22","2020-11-13 12:20:04","2020-11-29 10:52:53","2020-11-13 12:20:04","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\ruben\Zotero\storage\DNUZX6DH\using-deep-learning-ai-to-predict-the-stock-market-9399cf15a312.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6IHMQ5X","journalArticle","2011","Razali, Noraini Mohd; Geraghty, John","Genetic Algorithm Performance with Different Selection Strategies in Solving TSP","","","","","","A genetic algorithm (GA) has several genetic operators that can be modified to improve the performance of particular implementations. These operators include parent selection, crossover and mutation. Selection is one of the important operations in the GA process. There are several ways for selection. This paper presents the comparison of GA performance in solving travelling salesman problem (TSP) using different parent selection strategy. Several TSP instances were tested and the results show that tournament selection strategy outperformed proportional roulette wheel and rankbased roulette wheel selections, achieving best solution quality with low computing times. Results also reveal that tournament and proportional roulette wheel can be superior to the rankbased roulette wheel selection for smaller problems only and become susceptible to premature convergence as problem size increases.","2011","2020-11-16 10:51:36","2020-11-16 10:51:37","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\IMTU5K3E\Razali y Geraghty - 2011 - Genetic Algorithm Performance with Different Selec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S72FNI86","journalArticle","2012","Kumar, Rakesh; Jyotishree","Blending Roulette Wheel Selection & Rank Selection in Genetic Algorithms","International Journal of Machine Learning and Computing","","20103700","10.7763/IJMLC.2012.V2.146","","Both exploration and exploitation are the techniques employed normally by all the optimization techniques. In genetic algorithms, the roulette wheel selection operator has essence of exploitation while rank selection is influenced by exploration. In this paper, a blend of these two selection operators is proposed that is a perfect mix of both i.e. exploration and exploitation. The blended selection operator is more exploratory in nature in initial iterations and with the passage of time, it gradually shifts towards exploitation. The proposed solution is implemented in MATLAB using travelling salesman problem and the results were compared with roulette wheel selection and rank selection with different problem sizes.","2012","2020-11-16 13:49:53","2020-11-29 10:52:28","2020-11-16 13:49:53","365-370","","","","","IJMLC","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ruben\Zotero\storage\3DV5MMYP\Kumar y Jyotishree - 2012 - Blending Roulette Wheel Selection & Rank Selection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFYA59SI","conferencePaper","2015","Shukla, A.; Pandey, H. M.; Mehrotra, D.","Comparative review of selection techniques in genetic algorithm","2015 International Conference on Futuristic Trends on Computational Analysis and Knowledge Management (ABLAZE)","","","10.1109/ABLAZE.2015.7154916","","This paper compares various selection techniques used in Genetic Algorithm. Genetic algorithms are optimization search algorithms that maximize or minimizes given functions. Indentifying the appropriate selection technique is a critical step in genetic algorithm. The process of selection plays an important role in resolving premature convergence because it occurs due to lack of diversity in the population. Therefore selection of population in each generation is very important. In this study, we have reported the significant work conducted on various selection techniques and the comparison of selection techniques.","2015-02","2020-11-16 14:02:07","2020-11-16 14:02:07","","515-519","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\ruben\Zotero\storage\UXKGHRS8\Shukla et al. - 2015 - Comparative review of selection techniques in gene.pdf; C:\Users\ruben\Zotero\storage\8GEYD4TJ\7154916.html","","","genetic algorithm; genetic algorithms; Genetic algorithms; Wheels; Convergence; Genetic Algorithm; Knowledge management; Market research; optimization search algorithms; premature convergence; proportionate roulette wheel selection; Ranking Selection; search problems; selection techniques; Sociology; Statistics; tournament selection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 International Conference on Futuristic Trends on Computational Analysis and Knowledge Management (ABLAZE)","","","","","","","","","","","","","","",""
"HNIEPJLV","book","2015","Sucar, Luis Enrique","Probabilistic Graphical Models: Principles and Applications","","978-1-4471-6699-3","","","","This accessible text/reference provides a general introduction to probabilistic graphical models (PGMs) from an engineering perspective. The book covers the fundamentals for each of the main classes of PGMs, including representation, inference and learning principles, and reviews real-world applications for each type of model. These applications are drawn from a broad range of disciplines, highlighting the many uses of Bayesian classifiers, hidden Markov models, Bayesian networks, dynamic and temporal Bayesian networks, Markov random fields, influence diagrams, and Markov decision processes. Topics and features: Presents a unified framework encompassing all of the main classes of PGMs Explores the fundamental aspects of representation, inference and learning for each technique Describes the practical application of the different techniques Examines the latest developments in the field, covering multidimensional Bayesian classifiers, relational graphical models and causal models Provides exercises, suggestions for further reading, and ideas for research or programming projects at the end of each chapter Suggests possible course outlines for instructors in the preface This classroom-tested work is suitable as a textbook for an advanced undergraduate or a graduate course in probabilistic graphical models for students of computer science, engineering, and physics. Professionals wishing to apply probabilistic graphical models in their own field, or interested in the basis of these techniques, will also find the book to be an invaluable reference. Dr. Luis Enrique Sucar is a Senior Research Scientist at the National Institute for Astrophysics, Optics and Electronics (INAOE), Puebla, Mexico","2015","2020-11-18 11:02:48","2020-11-18 11:02:48","","","1","","","","","Probabilistic Graphical Models","Advances in Computer Vision and Pattern Recognition","","","","Springer London : Imprint: Springer","London","","","","","","Library of Congress ISBN","005.55","DOI: 10.1007/978-1-4471-6699-3","","","","","Artificial intelligence; Artificial Intelligence; Electrical engineering; Electrical Engineering; Mathematical statistics; Pattern recognition; Pattern Recognition; Probabilities; Probability and Statistics in Computer Science; Probability Theory and Stochastic Processes","","","","","","","","","","","","","","","","","","","","1st ed. 2015","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXAZBVCN","journalArticle","2011","Collobert, Ronan; Weston, Jason; Bottou, Léon; Karlen, Michael; Kavukcuoglu, Koray; Kuksa, Pavel","Natural Language Processing (Almost) from Scratch","The Journal of Machine Learning Research","","1532-4435","","","We propose a unified neural network architecture and learning algorithm that can be applied to various natural language processing tasks including part-of-speech tagging, chunking, named entity recognition, and semantic role labeling. This versatility is achieved by trying to avoid task-specific engineering and therefore disregarding a lot of prior knowledge. Instead of exploiting man-made input features carefully optimized for each task, our system learns internal representations on the basis of vast amounts of mostly unlabeled training data. This work is then used as a basis for building a freely available tagging system with good performance and minimal computational requirements.","2011-11-01","2020-11-21 10:05:49","2020-11-21 10:05:49","","2493–2537","","null","12","","J. Mach. Learn. Res.","","","","","","","","","","","","","2/1/2011","","","","C:\Users\ruben\Zotero\storage\5ZJR8CUA\Collobert et al. - 2011 - Natural Language Processing (Almost) from Scratch.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
